Leading Cancer Sites,Leading Cancer Sites Code,Race,Race Code,Sex,Sex Code,Age Groups,Age Groups Code,Year,Year Code,Count,Population,Crude Rate
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2018,2018,25,112796,22.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2019,2019,29,116632,24.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2013,2013,18,64334,28
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2014,2014,19,68832,27.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2015,2015,19,73760,25.8
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2016,2016,23,78889,29.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2017,2017,24,81673,29.4
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2018,2018,22,84152,26.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,65-69 years,65-69,2019,2019,32,88440,36.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,70-74 years,70-74,2014,2014,18,45547,39.5
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,70-74 years,70-74,2015,2015,26,48161,54
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,70-74 years,70-74,2016,2016,18,50742,35.5
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,70-74 years,70-74,2017,2017,21,55696,37.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,70-74 years,70-74,2018,2018,30,58874,51
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,70-74 years,70-74,2019,2019,25,63074,39.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,75-79 years,75-79,2013,2013,17,28967,58.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,75-79 years,75-79,2014,2014,18,30592,58.8
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,75-79 years,75-79,2015,2015,21,32182,65.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,75-79 years,75-79,2016,2016,17,33885,50.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,75-79 years,75-79,2018,2018,21,37763,55.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,75-79 years,75-79,2019,2019,25,40207,62.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,80-84 years,80-84,2016,2016,16,21809,73.4
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,85+ years,85+,2016,2016,21,20889,100.5
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,85+ years,85+,2018,2018,17,23391,72.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2010,2010,0,39527,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2011,2011,0,40657,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2012,2012,0,42125,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2013,2013,0,41233,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2014,2014,0,41604,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2015,2015,0,41381,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2016,2016,0,41606,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2017,2017,0,41871,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2018,2018,0,42243,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,< 1 year,1,2019,2019,0,41565,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2010,2010,0,159914,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2011,2011,0,159535,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2012,2012,0,159468,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2013,2013,0,161392,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2014,2014,0,163637,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2015,2015,0,165794,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2016,2016,0,166570,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2018,2018,0,164766,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,1-4 years,4-Jan,2019,2019,0,165945,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2010,2010,0,191101,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2011,2011,0,193027,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2012,2012,0,195924,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2013,2013,0,198260,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2014,2014,0,199045,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2016,2016,0,200551,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2017,2017,0,202070,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2018,2018,0,200711,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,5-9 years,9-May,2019,2019,0,203155,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2010,2010,0,189130,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2011,2011,0,189495,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2012,2012,0,189648,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2013,2013,0,189854,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2014,2014,0,190550,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2015,2015,0,190979,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2016,2016,0,193211,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2017,2017,0,196324,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2018,2018,0,196605,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,10-14 years,14-Oct,2019,2019,0,197262,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2010,2010,0,201031,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2011,2011,0,197285,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2013,2013,0,190195,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2014,2014,0,189012,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2015,2015,0,190243,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2016,2016,0,190722,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2017,2017,0,191035,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2018,2018,0,189240,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,15-19 years,15-19,2019,2019,0,189805,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2010,2010,0,190956,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2011,2011,0,195790,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2012,2012,0,201526,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2013,2013,0,204303,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2014,2014,0,204781,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2016,2016,0,199065,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2017,2017,0,194747,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2018,2018,0,189899,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,20-24 years,20-24,2019,2019,0,188322,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2010,2010,0,176361,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2012,2012,0,180331,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2013,2013,0,182654,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2015,2015,0,191662,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2016,2016,0,197181,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2017,2017,0,202584,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,25-29 years,25-29,2018,2018,0,202496,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,30-34 years,30-34,2018,2018,0,179523,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,30-34 years,30-34,2019,2019,0,183160,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,35-39 years,35-39,2012,2012,0,149783,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,35-39 years,35-39,2013,2013,0,151886,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,35-39 years,35-39,2014,2014,0,154542,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,35-39 years,35-39,2019,2019,0,170097,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,50-54 years,50-54,2012,2012,17,130005,13.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,50-54 years,50-54,2016,2016,20,135782,14.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2010,2010,19,96274,19.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2011,2011,16,100947,15.8
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2013,2013,22,110682,19.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2014,2014,25,114604,21.8
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2015,2015,21,118822,17.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2016,2016,27,121928,22.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2017,2017,19,124255,15.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2018,2018,22,125187,17.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,55-59 years,55-59,2019,2019,22,127304,17.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2010,2010,17,72951,23.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2011,2011,24,77702,30.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2012,2012,18,79266,22.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2014,2014,24,85973,27.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2015,2015,23,90177,25.5
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2016,2016,30,94565,31.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2017,2017,29,99763,29.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2018,2018,25,102515,24.4
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,60-64 years ,60-64,2019,2019,32,106089,30.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2010,2010,17,46724,36.4
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2011,2011,20,49043,40.8
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2012,2012,17,54173,31.4
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2013,2013,24,58163,41.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2014,2014,23,62413,36.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2015,2015,20,66906,29.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2016,2016,22,71147,30.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2017,2017,24,72575,33.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2018,2018,34,74480,45.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,65-69 years,65-69,2019,2019,32,77686,41.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2013,2013,17,36697,46.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2014,2014,21,39166,53.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2015,2015,25,41296,60.5
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2016,2016,26,43521,59.7
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2017,2017,19,48244,39.4
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2018,2018,22,51163,43
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,70-74 years,70-74,2019,2019,26,55039,47.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,75-79 years,75-79,2010,2010,16,18557,86.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,75-79 years,75-79,2011,2011,20,19817,100.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,75-79 years,75-79,2015,2015,20,25546,78.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,75-79 years,75-79,2017,2017,16,29029,55.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,75-79 years,75-79,2018,2018,21,30669,68.5
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,75-79 years,75-79,2019,2019,18,32754,55
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,80-84 years,80-84,2016,2016,19,15327,124
Pancreas,21100,American Indian or Alaska Native,1002-5,Male,M,80-84 years,80-84,2017,2017,17,16389,103.7
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2010,2010,0,112343,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2011,2011,0,117094,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2012,2012,0,121098,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2013,2013,0,127243,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2014,2014,0,127653,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2015,2015,0,133282,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2016,2016,0,133633,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2017,2017,0,137013,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2018,2018,0,131159,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,< 1 year,1,2019,2019,0,128073,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2010,2010,0,464700,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2011,2011,0,472773,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2012,2012,0,483093,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2013,2013,0,494004,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2014,2014,0,513996,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2015,2015,0,530614,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2016,2016,0,547315,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2017,2017,0,558374,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2018,2018,0,557699,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,1-4 years,4-Jan,2019,2019,0,559077,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2010,2010,0,586888,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2011,2011,0,596277,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2012,2012,0,609850,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2013,2013,0,620011,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2014,2014,0,625509,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2016,2016,0,647963,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2017,2017,0,663173,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,5-9 years,9-May,2018,2018,0,669683,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,10-14 years,14-Oct,2010,2010,0,551104,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,10-14 years,14-Oct,2011,2011,0,565317,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,10-14 years,14-Oct,2013,2013,0,595620,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,10-14 years,14-Oct,2018,2018,0,650806,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,10-14 years,14-Oct,2019,2019,0,651819,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,15-19 years,15-19,2010,2010,0,576001,0
Pancreas,21100,Asian or Pacific Islander,A-PI,Female,F,15-19 years,15-19,2011,2011,0,577861,0
